"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2022","34,813.9","34,965.3","35,230.2","34,359.8","20.23M","-0.43%"
"09/15/2022","23,600.0","23,900.0","23,900.0","23,450.0","13.73M","-0.42%"
"08/04/2022","23,650.0","23,900.0","23,950.0","23,500.0","30.03M","-0.42%"
"09/13/2022","23,700.0","23,750.0","24,000.0","23,500.0","14.68M","-0.42%"
"02/13/2020","10,843.2","10,866.1","10,934.7","10,797.4","11.08M","-0.42%"
"08/06/2018","12,722.5","12,792.9","12,792.9","12,529.0","12.72M","-0.41%"
"08/09/2018","12,863.3","12,986.5","13,092.1","12,845.7","12.56M","-0.41%"
"09/11/2020","13,631.3","13,687.0","13,742.8","13,631.3","20.49M","-0.41%"
"11/26/2021","37,122.2","37,311.4","37,803.4","37,084.4","34.75M","-0.41%"
"09/24/2021","38,446.7","38,598.0","39,127.8","38,371.0","20.65M","-0.39%"
"10/30/2018","13,620.0","13,584.8","13,848.7","13,584.8","7.35M","-0.39%"
"06/03/2020","12,330.1","12,375.9","12,444.5","12,170.0","25.31M","-0.37%"
"06/10/2020","12,353.0","12,353.0","12,536.0","12,192.9","20.79M","-0.37%"
"06/26/2020","12,444.5","12,536.0","12,627.5","12,353.0","19.72M","-0.37%"
"07/03/2020","12,581.8","12,673.3","12,696.1","12,536.0","17.08M","-0.36%"
"10/05/2021","41,852.4","42,003.7","42,306.5","41,701.0","34.54M","-0.36%"
"07/13/2020","12,650.4","12,604.6","12,741.9","12,467.4","30.96M","-0.36%"
"11/02/2021","42,003.7","42,003.7","42,684.9","41,776.7","33.37M","-0.36%"
"10/13/2021","42,987.6","43,139.0","43,441.7","42,760.6","20.26M","-0.35%"
"10/12/2021","43,139.0","43,366.0","43,593.1","42,987.6","23.54M","-0.35%"
"04/05/2018","14,781.4","14,907.1","14,932.2","14,731.1","8.01M","-0.34%"
"12/23/2021","34,019.2","34,132.8","34,132.8","33,375.9","34.68M","-0.33%"
"12/26/2018","10,663.7","10,698.9","10,698.9","10,470.1","10.48M","-0.33%"
"12/25/2018","10,698.9","10,434.9","10,698.9","10,188.6","13.14M","-0.33%"
"01/10/2022","34,549.0","34,700.4","35,305.8","34,435.5","22.72M","-0.33%"
"12/27/2021","34,738.2","35,230.2","35,268.0","34,473.3","13.88M","-0.33%"
"10/26/2020","17,171.5","17,283.0","17,840.5","17,115.7","35.73M","-0.32%"
"04/08/2022","35,116.6","35,381.5","35,608.6","35,078.8","17.86M","-0.32%"
"03/23/2021","25,980.2","26,008.1","26,259.0","25,868.7","21.92M","-0.32%"
"05/16/2019","11,367.6","11,420.4","11,508.4","11,367.6","3.77M","-0.31%"
"04/08/2019","11,402.8","11,438.0","11,490.8","11,367.6","3.78M","-0.31%"
"05/24/2021","36,461.5","36,573.1","36,851.8","36,238.5","41.40M","-0.31%"
"06/07/2022","25,126.6","25,202.2","25,391.4","24,710.3","25.19M","-0.30%"
"06/06/2022","25,202.2","25,845.5","25,921.2","25,050.9","23.10M","-0.30%"
"02/27/2019","12,106.6","12,300.2","12,300.2","12,018.7","13.69M","-0.29%"
"07/16/2018","12,493.8","12,704.9","12,757.7","12,441.0","9.11M","-0.28%"
"12/28/2022","18,200.0","18,400.0","18,500.0","17,950.0","14.31M","-0.27%"
"10/26/2018","13,690.4","13,831.1","13,936.7","13,690.4","14.09M","-0.26%"
"10/14/2022","19,450.0","19,750.0","19,900.0","19,300.0","22.59M","-0.26%"
"10/07/2019","9,745.1","9,768.0","9,836.6","9,699.4","6.99M","-0.23%"
"10/16/2019","9,745.1","9,790.9","9,836.6","9,745.1","5.52M","-0.23%"
"10/14/2019","9,813.8","9,928.1","9,928.1","9,813.8","6.23M","-0.23%"
"09/04/2019","9,882.4","9,836.6","9,973.9","9,836.6","12.32M","-0.23%"
"04/20/2022","32,694.8","32,921.8","33,300.3","32,619.1","17.21M","-0.23%"
"02/23/2021","24,140.4","24,084.7","24,391.3","23,945.3","31.45M","-0.23%"
"10/01/2019","10,019.7","10,042.5","10,156.9","9,996.8","8.56M","-0.23%"
"03/02/2020","10,202.7","10,156.9","10,294.2","10,156.9","8.33M","-0.22%"
"11/27/2019","10,339.9","10,408.5","10,431.4","10,317.0","7.42M","-0.22%"
"12/30/2021","34,586.9","35,041.0","35,041.0","34,586.9","13.37M","-0.22%"
"12/28/2021","34,662.5","34,738.2","35,343.7","34,511.2","16.06M","-0.22%"
"06/14/2019","10,500.0","10,522.9","10,545.8","10,500.0","4.36M","-0.22%"
